시군구명,LRR,CDI,NAR,AGI,YR,TREND,Cluster,유형,위험점수
함양군,0.6552362978479979,1.4142784065769167,0.236742487718493,0.237354602483709,0.19651024439685652,-0.01429136716194039,0,외부의존+노화 복합형,0.6191222473817924
하동군,0.728953453246927,1.459569739607648,0.19650160823098964,0.24677113903549427,0.19542126584623276,-0.004206207853682329,0,외부의존+노화 복합형,0.29985245993788673
고성군,0.9276972915896867,1.515777342433147,0.21450089628426527,0.20232633337110084,0.18956068563643413,-0.00190267451233756,0,외부의존+노화 복합형,0.17171163446688473
창원시 마산회원구,0.9867936805591947,1.7149869840634155,0.23872391923787162,0.20452442397779266,0.27994950611250924,-0.0010462642264954958,1,건강 상권,0.11376235650612965
창원시 마산합포구,0.9823447675759631,1.7106287180503557,0.31431087193263985,0.19419788632071192,0.30410231228422924,-4.463016316822718e-05,1,건강 상권,0.08196671416662868
양산시,0.7824848156799299,1.7928259187189362,0.25710790173611564,0.21569722209877135,0.25389533115808993,0.0019145504129605784,0,외부의존+노화 복합형,0.060908067037714037
창원시 진해구,0.8836347882779821,1.7622875945756868,0.3203493715023437,0.17288828450673802,0.31761666946124056,0.0021725342855958155,1,건강 상권,0.02333000894333242
창녕군,0.7716244432832386,1.6288162112309985,0.23423561852613634,0.22731068419829772,0.1532624095714654,0.004192937118313698,0,외부의존+노화 복합형,0.01558188024392463
