"시군구명","시간대","분류","매출건수(건)","매출합계(원)","집계시작일","집계종료일"
"창원시 의창구","7","주거생활","4572 ","282599705 ","20240101","20241231"
"창원시 의창구","8","교육","596 ","64263194 ","20240101","20241231"
"창원시 의창구","8","기타","2118 ","197131631 ","20240101","20241231"
"창원시 의창구","8","내구재","3468 ","61300658 ","20240101","20241231"
"창원시 의창구","8","레포츠/문화/취미","3756 ","60516792 ","20240101","20241231"
"창원시 의창구","8","서비스","15627 ","222438698 ","20240101","20241231"
"창원시 의창구","8","식생활","323269 ","2379153283 ","20240101","20241231"
"창원시 의창구","8","여행","624 ","23254969 ","20240101","20241231"
"창원시 의창구","8","유통","547958 ","5035405984 ","20240101","20241231"
"창원시 의창구","8","의료/미용","70158 ","3331533036 ","20240101","20241231"
"창원시 의창구","8","자동차","140987 ","7831243859 ","20240101","20241231"
"창원시 의창구","8","주거생활","16607 ","1311189239 ","20240101","20241231"
"창원시 의창구","9","교육","1193 ","256078821 ","20240101","20241231"
"창원시 의창구","9","기타","45572 ","2275710398 ","20240101","20241231"
"창원시 의창구","9","내구재","7019 ","282547752 ","20240101","20241231"
"창원시 의창구","9","레포츠/문화/취미","11480 ","231341947 ","20240101","20241231"
"창원시 의창구","9","서비스","15846 ","412405380 ","20240101","20241231"
"창원시 의창구","9","식생활","448300 ","4695586525 ","20240101","20241231"
"창원시 의창구","9","여행","1439 ","37653873 ","20240101","20241231"
"창원시 의창구","9","유통","620158 ","8181004990 ","20240101","20241231"
"창원시 의창구","9","의료/미용","531268 ","27818563996 ","20240101","20241231"
"창원시 의창구","9","의생활","199 ","5073132 ","20240101","20241231"
"창원시 의창구","9","자동차","180302 ","11385605524 ","20240101","20241231"
"창원시 의창구","9","주거생활","27807 ","2572888177 ","20240101","20241231"
"창원시 의창구","10","교육","107402 ","6136789788 ","20240101","20241231"
"창원시 의창구","10","기타","13180 ","1858999335 ","20240101","20241231"
"창원시 의창구","10","내구재","7958 ","311030781 ","20240101","20241231"
"창원시 의창구","10","레포츠/문화/취미","30315 ","1189889376 ","20240101","20241231"
"창원시 의창구","10","서비스","19548 ","700599068 ","20240101","20241231"
"창원시 의창구","10","식생활","594236 ","8192287779 ","20240101","20241231"
"창원시 의창구","10","여행","3406 ","101383825 ","20240101","20241231"
"창원시 의창구","10","유통","738472 ","11512300548 ","20240101","20241231"
"창원시 의창구","10","유흥","62 ","219328 ","20240101","20241231"
"창원시 의창구","10","의료/미용","719918 ","52767911316 ","20240101","20241231"
"창원시 의창구","10","의생활","1864 ","73633516 ","20240101","20241231"
"창원시 의창구","10","자동차","194414 ","13660819602 ","20240101","20241231"
"창원시 의창구","10","주거생활","31761 ","2872984674 ","20240101","20241231"
"창원시 의창구","11","교육","23358 ","1417370391 ","20240101","20241231"
"창원시 의창구","11","기타","11090 ","1007520884 ","20240101","20241231"
"창원시 의창구","11","내구재","7005 ","338587320 ","20240101","20241231"
"창원시 의창구","11","레포츠/문화/취미","51816 ","2964597567 ","20240101","20241231"
"창원시 의창구","11","서비스","22605 ","749583742 ","20240101","20241231"
"창원시 의창구","11","식생활","1137361 ","19815634866 ","20240101","20241231"
"창원시 의창구","11","여행","3331 ","97273132 ","20240101","20241231"
"창원시 의창구","11","유통","885442 ","15542725675 ","20240101","20241231"
"창원시 의창구","11","유흥","206 ","897875 ","20240101","20241231"
"창원시 의창구","11","의료/미용","748129 ","50181025565 ","20240101","20241231"
"창원시 의창구","11","의생활","3173 ","218735703 ","20240101","20241231"
"창원시 의창구","11","자동차","195929 ","13282089013 ","20240101","20241231"
"창원시 의창구","11","주거생활","21830 ","2007318739 ","20240101","20241231"
