상권업종대분류명,상권업종중분류명,시군구명,행정동명,경도,위도
소매,철물·건설자재 소매,산청군,산청읍,127.876820932276,35.4161992322333
수리·개인,이용·미용,함양군,수동면,127.788372173591,35.5217276426122
시설관리·임대,고용 알선,밀양시,삼문동,128.749587287995,35.4863274025925
음식,한식,합천군,청덕면,128.358410069461,35.5265049598659
음식,주점,사천시,동서동,128.071313705494,34.9278629905566
음식,한식,하동군,화개면,127.623291965431,35.1896045855861
음식,한식,통영시,무전동,128.425686998223,34.8608507088493
소매,섬유·의복·신발 소매,하동군,하동읍,127.748752446124,35.0695747659498
시설관리·임대,고용 알선,통영시,중앙동,128.426294566172,34.8466389765261
소매,섬유·의복·신발 소매,밀양시,내이동,128.747134805152,35.5012953674175
수리·개인,자동차 수리·세차,거창군,거창읍,127.912743430946,35.6806073438598
숙박,일반 숙박,하동군,화개면,127.62205265928,35.2689371325988
음식,한식,남해군,남면,127.847777485927,34.7892040339035
음식,기타 간이,거창군,거창읍,127.917767414013,35.6910416012295
수리·개인,이용·미용,사천시,사천읍,128.087707093265,35.0842056499741
시설관리·임대,가정용품 대여,밀양시,산외면,128.774728468019,35.5132655207948
소매,연료 소매,산청군,금서면,127.868640716187,35.4172407499219
교육,기타 교육,남해군,남해읍,127.893941494357,34.8379534740784
수리·개인,이용·미용,합천군,합천읍,128.159274724098,35.5671657751954
소매,식료품 소매,산청군,시천면,127.830899950761,35.272396946088
보건의료,의원,남해군,상주면,127.986245227629,34.7234151995326
음식,한식,함양군,안의면,127.772219359665,35.6765887584348
소매,의약·화장품 소매,창녕군,창녕읍,128.487664733273,35.5453289078659
음식,한식,사천시,축동면,128.044512943824,35.1105974582757
소매,철물·건설자재 소매,밀양시,상남면,128.755224201966,35.4044816943422
음식,기타 간이,고성군,고성읍,128.324585294805,34.9759920735365
수리·개인,이용·미용,창녕군,영산면,128.530237418694,35.4546216673087
수리·개인,자동차 수리·세차,통영시,용남면,128.441177562972,34.8618848444242
수리·개인,이용·미용,합천군,합천읍,128.161100181628,35.5675447506122
음식,기타 간이,산청군,시천면,127.840780151609,35.2766279323837
소매,식료품 소매,사천시,동서금동,128.080067793456,34.9319496654538
소매,식료품 소매,창녕군,장마면,128.471036163881,35.4564842714745
수리·개인,이용·미용,창녕군,남지읍,128.479862324906,35.389262451335
소매,식료품 소매,고성군,고성읍,128.292500186715,34.9800963293929
음식,한식,밀양시,삼문동,128.753959308648,35.4887601625839
소매,의약·화장품 소매,사천시,동서동,128.065828365042,34.9302186658214
소매,섬유·의복·신발 소매,통영시,중앙동,128.424108576265,34.8454027630419
시설관리·임대,청소·방제,거창군,거창읍,127.919534516296,35.6842597779447
소매,식료품 소매,통영시,무전동,128.427174623253,34.8602474070358
부동산,부동산 서비스,통영시,광도면,128.415249505486,34.8758261873208
소매,종합 소매,밀양시,내이동,128.744717286741,35.4980500962833
소매,섬유·의복·신발 소매,거창군,거창읍,127.915388497196,35.6868509083019
수리·개인,자동차 수리·세차,밀양시,하남읍,128.712515327358,35.3747518054937
소매,종합 소매,밀양시,삼문동,128.7547194997,35.4826752080335
음식,기타 간이,창녕군,창녕읍,128.497355882245,35.5393240880382
부동산,부동산 서비스,남해군,삼동면,128.000016155047,34.8306108157367
소매,가전·통신 소매,합천군,합천읍,128.159274724098,35.5671657751954
수리·개인,이용·미용,거창군,거창읍,127.910132105545,35.6850792629221
음식,기타 간이,사천시,정동면,128.087917164076,35.079381726481
수리·개인,이용·미용,고성군,거류면,128.405817711499,34.9897336724431
수리·개인,이용·미용,밀양시,가곡동,128.765672650342,35.4761981895567
소매,시계·귀금속 소매,밀양시,내일동,128.751309169859,35.4920518958932
과학·기술,수의,고성군,회화면,128.370229802565,35.0576923808627
음식,비알코올 ,통영시,미수동,128.404473034568,34.8305701836178
숙박,일반 숙박,통영시,산양읍,128.399155977179,34.7805091717662
숙박,일반 숙박,함양군,지곡면,127.770722372476,35.5655535820111
음식,한식,함양군,함양읍,127.727959626724,35.5169971105535
수리·개인,이용·미용,통영시,북신동,128.431394868058,34.8520139339885
음식,한식,합천군,가야면,128.108948407709,35.7312759287788
소매,식물 소매,합천군,대양면,128.16865697403,35.5288625873408
소매,기타 생활용품 소매,하동군,진교면,127.903327738604,35.0272136634141
소매,연료 소매,사천시,향촌동,128.090769617061,34.9317999701587
소매,섬유·의복·신발 소매,통영시,중앙동,128.422246681366,34.8426665455409
소매,섬유·의복·신발 소매,고성군,고성읍,128.324085870857,34.9735369612486
음식,기타 간이,통영시,무전동,128.428240982007,34.8605773819572
소매,장식품 소매,창녕군,부곡면,128.626387679278,35.4303476934303
소매,종합 소매,밀양시,무안면,128.653290195008,35.5402245526575
소매,식료품 소매,통영시,중앙동,128.424739531335,34.8458550401651
음식,주점,고성군,고성읍,128.324956891066,34.9766279445085
소매,철물·건설자재 소매,밀양시,내이동,128.745559307148,35.4987678630373
부동산,부동산 서비스,통영시,정량동,128.432376317174,34.8398797874049
소매,의약·화장품 소매,사천시,벌용동,128.078940506186,34.937800350413
소매,의약·화장품 소매,고성군,고성읍,128.320109649444,34.97617601535
과학·기술,기술 서비스,산청군,산청읍,127.885698432037,35.4155125642214
과학·기술,광고,통영시,봉평동,128.421462102273,34.8307333535058
음식,한식,남해군,미조면,128.048123284452,34.7095672059304
음식,한식,사천시,향촌동,128.097694877478,34.9266720828541
소매,오락용품 소매,밀양시,내일동,128.752688711857,35.4916443558645
소매,종합 소매,사천시,사천읍,128.086841806699,35.0842765010054
과학·기술,본사·경영 컨설팅,고성군,마암면,128.349477759223,35.0528507928864
수리·개인,욕탕·신체관리,창녕군,남지읍,128.479495580849,35.3884648531441
숙박,일반 숙박,남해군,삼동면,128.049948995118,34.7934867742276
수리·개인,자동차 수리·세차,통영시,정량동,128.429427491777,34.8444660907663
음식,한식,창녕군,남지읍,128.478526585706,35.39145076271
음식,한식,사천시,사천읍,128.08554377523,35.0781681931257
수리·개인,이용·미용,거창군,거창읍,127.917004515424,35.6871270069382
과학·기술,인쇄·제품제작,사천시,용현면,128.061156667408,35.0016633214735
숙박,일반 숙박,밀양시,가곡동,128.766438061071,35.4759346576978
음식,한식,사천시,향촌동,128.131742899994,34.9642336024038
소매,식료품 소매,밀양시,내일동,128.753860317716,35.4933305409119
소매,종합 소매,통영시,봉평동,128.433215935505,34.8246197378983
과학·기술,인쇄·제품제작,함양군,함양읍,127.726447516766,35.5180156629125
소매,연료 소매,사천시,곤명면,127.993565995317,35.1414542727565
소매,섬유·의복·신발 소매,밀양시,삼문동,128.754436315805,35.4843464954003
소매,섬유·의복·신발 소매,거창군,거창읍,127.915374229889,35.6875359620269
음식,주점,하동군,진교면,127.90287019375,35.0264599422361
수리·개인,자동차 수리·세차,통영시,무전동,128.428240982007,34.8605773819572
과학·기술,광고,산청군,시천면,127.848777272964,35.2751570311475
부동산,부동산 서비스,함안군,칠원읍,128.51793391162,35.3077517602433
소매,시계·귀금속 소매,고성군,고성읍,128.325329045538,34.9759388918562
숙박,일반 숙박,창녕군,영산면,128.527492227262,35.4556477729159
소매,모터사이클 소매,통영시,용남면,128.460102243229,34.890140122816
음식,기타 간이,함양군,함양읍,127.730160083672,35.5226078099083
수리·개인,기타 가정용품 수리,창녕군,대합면,128.449750517319,35.5873453315326
소매,철물·건설자재 소매,사천시,동서동,128.069302166656,34.927186679836
교육,일반 교육,사천시,벌용동,128.090378761428,34.9386536358003
부동산,부동산 서비스,하동군,하동읍,127.752463542331,35.0653965898665
음식,한식,사천시,벌용동,128.084949472994,34.9394593707664
음식,한식,함안군,법수면,128.331623643899,35.3213300859558
소매,섬유·의복·신발 소매,통영시,중앙동,128.424799521984,34.8455298661309
숙박,일반 숙박,고성군,하이면,128.161523446757,34.9098817039078
예술·스포츠,스포츠 서비스,사천시,동서금동,128.082610549408,34.9322244741235
소매,중고 상품 소매,통영시,광도면,128.40058572957,34.8985196650621
음식,기타 간이,사천시,사천읍,128.083879209867,35.0758306460401
음식,한식,통영시,봉평동,128.413828785197,34.8317957378405
수리·개인,욕탕·신체관리,함안군,가야읍,128.407369823642,35.2745083680549
음식,한식,합천군,합천읍,128.15928133919,35.5668592904427
수리·개인,가전제품 수리,산청군,금서면,127.798049191856,35.4646489590193
소매,섬유·의복·신발 소매,통영시,북신동,128.428458899368,34.8554734264026
숙박,일반 숙박,산청군,금서면,127.782751411885,35.4184498803787
소매,섬유·의복·신발 소매,사천시,벌용동,128.079972338204,34.9405312458561
소매,가구 소매,사천시,벌용동,128.080953837797,34.9427578302905
소매,종합 소매,사천시,사남면,128.067175006951,35.0610259034949
음식,비알코올 ,밀양시,내일동,128.75285861703,35.4938858037464
과학·기술,법무관련 ,거창군,거창읍,127.90820402921,35.6904021528939
음식,한식,함양군,함양읍,127.723418877089,35.5244870447147
음식,비알코올 ,밀양시,삼문동,128.749134271402,35.487793871565
음식,한식,함안군,대산면,128.430545677454,35.3493100355261
소매,종합 소매,사천시,선구동,128.072496466608,34.9279246624962
소매,가전·통신 소매,합천군,야로면,128.16897123932,35.7059513112718
수리·개인,자동차 수리·세차,사천시,향촌동,128.089947799553,34.9317262257473
음식,구내식당·뷔페,함안군,칠서면,128.47844818856,35.3660461264041
음식,한식,사천시,곤명면,127.938027658389,35.0835541475211
음식,한식,밀양시,산외면,128.798856196236,35.5029321769582
음식,주점,합천군,합천읍,128.160167256456,35.5663370611913
과학·기술,법무관련 ,고성군,고성읍,128.322268524445,34.973556766552
음식,기타 간이,고성군,고성읍,128.326978014908,34.9776964481221
음식,주점,창녕군,대합면,128.473328651843,35.6181236121502
음식,비알코올 ,의령군,부림면,128.324645121418,35.4655969108493
음식,한식,통영시,무전동,128.427899517962,34.8585354268129
숙박,일반 숙박,남해군,상주면,127.987032771504,34.7217052177069
부동산,부동산 서비스,창녕군,창녕읍,128.492505387651,35.5435387721099
음식,한식,함양군,마천면,127.67172484533,35.3749005084559
음식,한식,통영시,광도면,128.421842304193,34.8776149557541
숙박,기타 숙박,산청군,금서면,127.777948365817,35.438796038742
소매,철물·건설자재 소매,밀양시,부북면,128.745405288484,35.4727982725633
음식,한식,사천시,동서금동,128.077158020213,34.9303891441328
음식,한식,사천시,곤양면,127.96051687856,35.055490949069
음식,주점,산청군,산청읍,127.876994831189,35.4159906736477
예술·스포츠,유원지·오락,밀양시,가곡동,128.770989169231,35.4729751811019
소매,의약·화장품 소매,거창군,거창읍,127.919278794834,35.6889301723051
교육,일반 교육,밀양시,삼문동,128.748911244827,35.4815699992442
소매,식료품 소매,사천시,동서동,128.071756851698,34.9274354525956
소매,식료품 소매,통영시,한산면,128.575180640539,34.6473716382222
과학·기술,전문 디자인,고성군,고성읍,128.327764259452,34.9884133502317
음식,서양식,밀양시,부북면,128.703137856266,35.5491011327536
수리·개인,자동차 수리·세차,통영시,용남면,128.445672272276,34.8694114438561
예술·스포츠,스포츠 서비스,사천시,사천읍,128.091237369564,35.0915827351862
음식,한식,하동군,화개면,127.624894983394,35.1881722120089
음식,한식,의령군,의령읍,128.261547702447,35.3195310777796
음식,구내식당·뷔페,사천시,사남면,128.060670471957,35.0691768206275
수리·개인,이용·미용,통영시,정량동,128.431139895779,34.8486550587331
음식,한식,함안군,군북면,128.335199190255,35.2986871648155
소매,오락용품 소매,함양군,함양읍,127.729310258768,35.5225047976044
음식,한식,함안군,법수면,128.385774481615,35.3196490060888
과학·기술,시장 조사,거창군,거창읍,127.913474506374,35.6856307430856
음식,한식,사천시,선구동,128.07466019115,34.9285184532399
음식,한식,통영시,중앙동,128.423347979028,34.8425004385773
수리·개인,컴퓨터 수리,통영시,명정동,128.417952271186,34.8453304906707
시설관리·임대,청소·방제,통영시,봉평동,128.422135200418,34.8266515571314
보건의료,의원,창녕군,창녕읍,128.492067613802,35.542525831802
과학·기술,기술 서비스,창녕군,창녕읍,128.492432059942,35.5437469563662
소매,기타 생활용품 소매,합천군,합천읍,128.157821543884,35.5658278835675
시설관리·임대,운송장비 대여,통영시,무전동,128.431530075904,34.857924913872
과학·기술,기술 서비스,함안군,산인면,128.429696451868,35.2760940945982
수리·개인,세탁,밀양시,교동,128.756523313535,35.5108736097141
음식,비알코올 ,고성군,회화면,128.368390178386,35.0564874001333
소매,철물·건설자재 소매,하동군,금남면,127.810290220354,34.9975131063699
수리·개인,이용·미용,남해군,남해읍,127.893761274526,34.8354399780409
음식,한식,함양군,함양읍,127.719751983388,35.5212733795015
소매,의약·화장품 소매,사천시,동서금동,128.075818724415,34.9284000392299
음식,한식,하동군,하동읍,127.749444165469,35.0696876686804
숙박,일반 숙박,남해군,창선면,128.02468409174,34.8814402165655
소매,종합 소매,통영시,광도면,128.414963633982,34.8782900800154
소매,식료품 소매,통영시,봉평동,128.419046951799,34.8333122657787
소매,종합 소매,밀양시,내이동,128.745209387759,35.502458717789
소매,철물·건설자재 소매,고성군,고성읍,128.3278372276,34.9780115231598
음식,비알코올 ,밀양시,산외면,128.841787761061,35.5128998359901
음식,한식,밀양시,단장면,128.943830256077,35.5313755072602
음식,한식,거창군,가조면,128.022745682327,35.6992167808245
음식,서양식,하동군,하동읍,127.746469536044,35.0704991984219
음식,기타 간이,통영시,광도면,128.418199559213,34.8782073051606
부동산,부동산 서비스,사천시,용현면,128.061271115004,35.0079806401938
소매,가구 소매,사천시,선구동,128.077153295476,34.94258428414
교육,기타 교육,통영시,무전동,128.426916449246,34.8604937899409
소매,가구 소매,밀양시,내이동,128.74704437174,35.4899959820936
소매,오락용품 소매,함양군,함양읍,127.727135141044,35.5196969175345
과학·기술,기술 서비스,사천시,벌용동,128.081199315631,34.9356080445196
소매,식료품 소매,통영시,광도면,128.418459090603,34.8767621885438
소매,섬유·의복·신발 소매,통영시,명정동,128.418689050825,34.8411217929978
숙박,일반 숙박,사천시,서포면,128.012899534756,35.0021387049946
수리·개인,이용·미용,함안군,군북면,128.346011848834,35.2618680597131
소매,종합 소매,창녕군,남지읍,128.477816244116,35.3887107173438
소매,음료 소매,사천시,사천읍,128.090142035802,35.0850850979532
소매,종합 소매,통영시,용남면,128.466493343949,34.8872331029245
소매,연료 소매,함양군,함양읍,127.740731618318,35.5404878252819
음식,한식,합천군,가야면,128.087710289591,35.7909772182734
부동산,부동산 서비스,통영시,미수동,128.400946770895,34.8243737520218
교육,기타 교육,사천시,동서금동,128.075818724415,34.9284000392299
음식,한식,통영시,미수동,128.407493332506,34.8326984231918
수리·개인,세탁,합천군,합천읍,128.160716384672,35.5677016573813
숙박,일반 숙박,산청군,산청읍,127.874024512685,35.4019340931942
수리·개인,자동차 수리·세차,의령군,의령읍,128.257812026297,35.3190202305475
수리·개인,이용·미용,함안군,가야읍,128.409036826874,35.2793827520635
숙박,일반 숙박,남해군,남면,127.843955541111,34.7647400420046
수리·개인,이용·미용,창녕군,남지읍,128.470203399939,35.3900833599789
교육,일반 교육,밀양시,삼문동,128.749620952431,35.4822896593118
음식,한식,밀양시,삼문동,128.757871400485,35.4852427211098
소매,연료 소매,함안군,산인면,128.422893795051,35.2905582277152
수리·개인,이용·미용,사천시,벌용동,128.088452943833,34.9386979468964
소매,종합 소매,통영시,욕지면,128.351624280962,34.6489824080056
과학·기술,전문 디자인,밀양시,내이동,128.7431579859,35.4993252698813
음식,한식,거창군,거창읍,127.912540907153,35.6851331269998
음식,한식,남해군,남해읍,127.894489995584,34.8401487819088
숙박,일반 숙박,산청군,삼장면,127.835020042881,35.3033104977117
음식,한식,남해군,남해읍,127.894244666386,34.8366713013728
교육,기타 교육,산청군,시천면,127.833187180642,35.2746615314572
음식,기타 간이,함안군,가야읍,128.399790199687,35.2740735935073
소매,가구 소매,밀양시,내이동,128.744529512687,35.4985394450235
부동산,부동산 서비스,창녕군,창녕읍,128.492359764643,35.5404404378149
소매,자동차 부품 소매,통영시,북신동,128.423028572197,34.8576010935754
음식,한식,거창군,거창읍,127.915277656281,35.6858513704183
부동산,부동산 서비스,밀양시,하남읍,128.716236947361,35.3753929077029
음식,비알코올 ,산청군,산청읍,127.878435939152,35.415881058431
음식,한식,사천시,동서동,128.054904104711,34.9309359381016
음식,주점,창녕군,창녕읍,128.490250511097,35.5426474378242
교육,기타 교육,사천시,정동면,128.080376206632,35.0645954288521
소매,식료품 소매,사천시,선구동,128.075314876451,34.9292066914131
소매,철물·건설자재 소매,남해군,남해읍,127.894909786913,34.841560842774
음식,비알코올 ,남해군,삼동면,128.046147781327,34.8013613468554
수리·개인,가전제품 수리,통영시,용남면,128.444907192024,34.8931788371385
부동산,부동산 서비스,거창군,거창읍,127.914351877996,35.6879763287538
음식,한식,사천시,사천읍,128.087605661935,35.0815206394641
음식,기타 간이,함양군,함양읍,127.726741597761,35.5188430711968
소매,의약·화장품 소매,창녕군,이방면,128.382345651045,35.601087779057
음식,한식,창녕군,창녕읍,128.493190042884,35.5429985853229
음식,한식,의령군,의령읍,128.253861087969,35.3202329136285
숙박,일반 숙박,남해군,이동면,127.947656138135,34.7571536405378
소매,식료품 소매,하동군,청암면,127.707754170076,35.2424269468653
수리·개인,자동차 수리·세차,합천군,합천읍,128.16249265582,35.5646744040036
숙박,일반 숙박,통영시,중앙동,128.422608223081,34.8420764656258
소매,종합 소매,창녕군,남지읍,128.48068343334,35.3890270822176
음식,한식,창녕군,계성면,128.516990029623,35.4858535845958
소매,종합 소매,통영시,중앙동,128.421035923179,34.8428249085503
음식,기타 간이,남해군,남해읍,127.8903045411,34.836249519053
예술·스포츠,유원지·오락,남해군,이동면,127.923187958577,34.8176074696377
숙박,일반 숙박,합천군,봉산면,128.06151222974,35.5788001772169
소매,식료품 소매,창녕군,영산면,128.528944392,35.4567198487487
수리·개인,모터사이클 수리,함안군,가야읍,128.406619921369,35.2749947540629
소매,연료 소매,의령군,대의면,128.102409969327,35.3650962369634
숙박,일반 숙박,거창군,북상면,127.781647369942,35.8016118685839
음식,기타 간이,사천시,곤양면,127.961679351507,35.0574105879019
음식,기타 간이,고성군,영오면,128.188113911519,35.091140773499
음식,중식,의령군,화정면,128.211421038836,35.2778822705923
소매,식물 소매,고성군,회화면,128.372732603649,35.0592233043483
소매,철물·건설자재 소매,합천군,대양면,128.163220336047,35.5562588230151
소매,오락용품 소매,사천시,사남면,128.08888767278,35.0550464515572
음식,한식,남해군,남해읍,127.895198714675,34.8369437082706
음식,기타 간이,하동군,하동읍,127.749386957935,35.0706254226372
수리·개인,모터사이클 수리,밀양시,내이동,128.750497569452,35.4962901705417
소매,장식품 소매,통영시,봉평동,128.438741134479,34.8274567304079
소매,종합 소매,통영시,산양읍,128.421348383647,34.7655515130891
소매,식료품 소매,사천시,동서동,128.071756851698,34.9274354525956
예술·스포츠,유원지·오락,통영시,봉평동,128.423644454753,34.829878623655
숙박,일반 숙박,통영시,무전동,128.429783555888,34.859991429121
음식,한식,함양군,함양읍,127.727379332945,35.5186589707382
과학·기술,본사·경영 컨설팅,거창군,거창읍,127.915038216132,35.6813289443767
음식,한식,고성군,고성읍,128.33019711427,34.9681975347029
