"시군구명","연월","분류","성별","연령대","매출건수(건)","매출합계(원)","집계시작일","집계종료일"
"거제시","202401","여행","남성","60대","822","80365593","20240101","20241231"
"거제시","202401","여행","남성","70대이상","75","4264839","20240101","20241231"
"거제시","202401","여행","여성","20대","528","16329198","20240101","20241231"
"거제시","202401","여행","여성","30대","8821","401176148","20240101","20241231"
"거제시","202401","여행","여성","40대","7786","373352228","20240101","20241231"
"거제시","202401","여행","여성","50대","1213","116022070","20240101","20241231"
"거제시","202401","여행","여성","60대","679","40415901","20240101","20241231"
"거제시","202401","여행","여성","70대이상","27","1155586","20240101","20241231"
"거제시","202401","유통","남성","20대","214578","1827493900","20240101","20241231"
"거제시","202401","유통","남성","20대미만","25963","138660240","20240101","20241231"
"거제시","202401","유통","남성","30대","256484","3356589650","20240101","20241231"
"거제시","202401","유통","남성","40대","436909","7531081659","20240101","20241231"
"거제시","202401","유통","남성","50대","308300","5544856271","20240101","20241231"
"거제시","202401","유통","남성","60대","117149","2258119534","20240101","20241231"
"거제시","202401","유통","남성","70대이상","13550","313253735","20240101","20241231"
"거제시","202401","유통","여성","20대","47519","556732488","20240101","20241231"
"거제시","202401","유통","여성","20대미만","10631","58580535","20240101","20241231"
"거제시","202401","유통","여성","30대","100898","1832019883","20240101","20241231"
"거제시","202401","유통","여성","40대","156991","3420141193","20240101","20241231"
"거제시","202401","유통","여성","50대","109294","2690024092","20240101","20241231"
"거제시","202401","유통","여성","60대","45305","1262591638","20240101","20241231"
"거제시","202401","유통","여성","70대이상","6977","158739548","20240101","20241231"
"거제시","202401","유흥","남성","20대","9623","117925977","20240101","20241231"
"거제시","202401","유흥","남성","20대미만","2111","10540781","20240101","20241231"
"거제시","202401","유흥","남성","30대","1686","96295408","20240101","20241231"
"거제시","202401","유흥","남성","40대","3516","441960247","20240101","20241231"
"거제시","202401","유흥","남성","50대","3646","497288609","20240101","20241231"
"거제시","202401","유흥","남성","60대","775","106716929","20240101","20241231"
"거제시","202401","유흥","남성","70대이상","21","616861","20240101","20241231"
"거제시","202401","유흥","여성","20대","1227","10906785","20240101","20241231"
"거제시","202401","유흥","여성","20대미만","1227","5640850","20240101","20241231"
"거제시","202401","유흥","여성","30대","212","6925291","20240101","20241231"
"거제시","202401","유흥","여성","40대","322","18627827","20240101","20241231"
"거제시","202401","유흥","여성","50대","110","2597670","20240101","20241231"
