업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,레저용품쇼핑,28.6,3.5
쇼핑업,기타관광쇼핑,28.6,96.5
숙박업,호텔,14.8,81.6
숙박업,캠핑장/펜션,14.8,3.0
숙박업,기타숙박,14.8,15.4
식음료업,일반외식업,41.8,82.7
식음료업,제과음료업,41.8,17.3
여가서비스업,골프장,8.6,75.8
여가서비스업,기타레저,8.6,21.7
여가서비스업,문화서비스,8.6,0.9
여가서비스업,관광유원시설,8.6,1.6
여행업,여행업,0.0,100.0
운송업,육상운송,5.9,99.4
운송업,렌터카,5.9,0.6
의료웰니스업,뷰티,0.4,100.0
