업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,레저용품쇼핑,24.2,2.3
쇼핑업,기타관광쇼핑,24.2,97.7
숙박업,콘도,3.0,57.1
숙박업,기타숙박,3.0,37.9
숙박업,캠핑장/펜션,3.0,5.0
식음료업,일반외식업,27.8,87.2
식음료업,제과음료업,27.8,12.8
여가서비스업,골프장,3.6,21.3
여가서비스업,기타레저,3.6,73.9
여가서비스업,문화서비스,3.6,4.3
여가서비스업,관광유원시설,3.6,0.5
여행업,여행업,0.0,100.0
운송업,육상운송,41.1,99.9
운송업,수상운송,41.1,0.1
의료웰니스업,뷰티,0.3,100.0
