업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,레저용품쇼핑,28.8,4.8
쇼핑업,기타관광쇼핑,28.8,85.2
쇼핑업,대형쇼핑몰,28.8,10.0
숙박업,캠핑장/펜션,2.5,3.7
숙박업,기타숙박,2.5,96.3
식음료업,일반외식업,32.5,86.2
식음료업,제과음료업,32.5,13.8
여가서비스업,골프장,17.6,88.9
여가서비스업,기타레저,17.6,9.1
여가서비스업,문화서비스,17.6,2.0
여가서비스업,관광유원시설,17.6,0.0
여행업,여행업,0.0,100.0
운송업,육상운송,17.8,99.9
운송업,렌터카,17.8,0.1
의료웰니스업,뷰티,0.8,100.0
