업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,대형쇼핑몰,18.6,6.7
쇼핑업,기타관광쇼핑,18.6,93.1
쇼핑업,레저용품쇼핑,18.6,0.1
숙박업,캠핑장/펜션,1.0,39.0
숙박업,기타숙박,1.0,61.0
숙박업,호텔,1.0,0.0
식음료업,일반외식업,20.0,87.3
식음료업,제과음료업,20.0,12.7
여가서비스업,골프장,0.8,33.4
여가서비스업,기타레저,0.8,56.1
여가서비스업,문화서비스,0.8,7.5
여가서비스업,관광유원시설,0.8,3.0
여행업,여행업,0.0,100.0
운송업,육상운송,59.5,100.0
의료웰니스업,뷰티,0.2,100.0
