업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,레저용품쇼핑,31.2,12.4
쇼핑업,기타관광쇼핑,31.2,82.0
쇼핑업,대형쇼핑몰,31.2,5.6
숙박업,캠핑장/펜션,2.5,13.2
숙박업,기타숙박,2.5,86.8
식음료업,일반외식업,33.0,90.1
식음료업,제과음료업,33.0,9.9
여가서비스업,골프장,8.5,92.1
여가서비스업,기타레저,8.5,4.2
여가서비스업,문화서비스,8.5,3.7
여행업,여행업,0.0,100.0
운송업,렌터카,23.3,0.2
운송업,육상운송,23.3,99.8
의료웰니스업,뷰티,1.7,100.0
