업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,레저용품쇼핑,36.8,1.1
쇼핑업,기타관광쇼핑,36.8,98.7
쇼핑업,대형쇼핑몰,36.8,0.2
숙박업,캠핑장/펜션,2.0,24.6
숙박업,기타숙박,2.0,75.4
식음료업,일반외식업,37.9,88.7
식음료업,제과음료업,37.9,11.3
여가서비스업,관광유원시설,12.8,1.1
여가서비스업,골프장,12.8,88.9
여가서비스업,기타레저,12.8,9.5
여가서비스업,문화서비스,12.8,0.5
여행업,여행업,0.0,100.0
운송업,육상운송,10.2,100.0
운송업,렌터카,10.2,0.0
의료웰니스업,뷰티,0.4,100.0
