업종대분류명,업종중분류명,업종대분류 비율(%),업종중분류 비율(%)
쇼핑업,레저용품쇼핑,24.1,10.7
쇼핑업,기타관광쇼핑,24.1,77.3
쇼핑업,대형쇼핑몰,24.1,12.0
숙박업,캠핑장/펜션,2.0,8.0
숙박업,기타숙박,2.0,92.0
식음료업,일반외식업,25.5,88.6
식음료업,제과음료업,25.5,11.4
여가서비스업,관광유원시설,8.4,1.2
여가서비스업,골프장,8.4,71.8
여가서비스업,기타레저,8.4,6.4
여가서비스업,문화서비스,8.4,20.6
여행업,여행업,0.0,100.0
운송업,렌터카,39.0,0.1
운송업,육상운송,39.0,91.8
운송업,수상운송,39.0,8.1
의료웰니스업,뷰티,0.8,100.0
