시군구명,CPC_현행,CPC_개선후,위험점수_현행,위험점수_개선후,Δ위험점수,개선대상,추가매출_억
하동군,13239.854771179736,14239.854771179736,0.8654391298720605,0.8477846278748855,-0.017654501997175,True,30.54559
함양군,27036.70780661723,28036.70780661723,0.7776814434185422,0.7672132208105163,-0.010468222608025823,True,22.23921
합천군,11380.219430101133,12380.219430101133,0.7754216550635795,0.7555203008062829,-0.019901354257296666,True,30.57174
남해군,17074.280518697207,17074.280518697207,0.7086761063526504,0.7086761063526504,0.0,False,0.0
의령군,12000.670861502796,13000.670861502796,0.7018352636490659,0.6827579816650526,-0.01907728198401326,True,17.45241
산청군,16536.274552550658,17536.274552550658,0.6131546368418538,0.5982762660028969,-0.014878370838956934,True,30.15481
창녕군,31927.034514979623,31927.034514979623,0.5605040697682168,0.5605040697682168,0.0,False,0.0
고성군,37169.569031766914,37169.569031766914,0.4390710473998991,0.4390710473998991,0.0,False,0.0
밀양시,53357.24323751679,53357.24323751679,0.3579728186441533,0.3579728186441533,0.0,False,0.0
함안군,71516.31794308503,71516.31794308503,0.2548392720953164,0.2548392720953164,0.0,False,0.0
거창군,65035.72049792237,65035.72049792237,0.22740804515170618,0.22740804515170618,0.0,False,0.0
사천시,82844.19742130807,82844.19742130807,0.09311640447930511,0.09311640447930511,0.0,False,0.0
통영시,86763.89351776474,86763.89351776474,0.0652258938605914,0.0652258938605914,0.0,False,0.0
